"","country_name","v2x_polyarchy","v2x_freexp_altinf","v2xeg_eqdr"
"153","Iceland",0.834,0.903,0.929
"154","Israel",0.723,0.845,0.79
"155","Kuwait",0.333,0.628,0.894
"156","Lithuania",0.798,0.913,0.91
"157","Luxembourg",0.878,0.961,0.97
"158","North Macedonia",0.56,0.732,0.659
"159","Malaysia",0.506,0.631,0.879
"160","Malta",0.779,0.832,0.956
"161","Mauritius",0.479,0.664,0.833
"162","Montenegro",0.581,0.778,0.812
"163","New Zealand",0.886,0.953,0.926
"164","Norway",0.886,0.949,0.985
"165","Oman",0.17,0.147,0.869
"166","Paraguay",0.579,0.744,0.147
"167","Romania",0.669,0.753,0.615
"168","Sao Tome and Principe",0.675,0.806,0.544
"169","Saudi Arabia",0.015,0.089,0.826
"170","Serbia",0.364,0.443,0.799
"171","Seychelles",0.743,0.829,0.914
"172","Singapore",0.403,0.374,0.957
"173","Slovakia",0.823,0.937,0.834
"174","Slovenia",0.758,0.804,0.895
"175","Solomon Islands",0.619,0.808,0.221
"176","Vanuatu",0.796,0.906,0.728
"177","United Arab Emirates",0.102,0.066,0.92
"178","Hungary",0.44,0.496,0.629
"179","Zanzibar",0.289,0.605,0.807
